taxonKey,genus,species,decimalLatitude,decimalLongitude,country,coordinateUncertaintyInMeters,year,month,day
7294715,Cordia,Cordia superba,-22.810797,-47.59021,Brazil,48.0,2020.0,10.0,25.0
7294715,Cordia,Cordia superba,-22.903745,-43.446597,Brazil,16.0,2020.0,11.0,14.0
7294715,Cordia,Cordia superba,-23.586381,-46.654957,Brazil,,2020.0,11.0,9.0
7294715,Cordia,Cordia superba,-22.374912,-43.069572,Brazil,,2020.0,11.0,2.0
7294715,Cordia,Cordia superba,-22.923724,-43.171299,Brazil,9.0,2020.0,11.0,8.0
7294715,Cordia,Cordia superba,-23.586381,-46.654957,Brazil,,2020.0,11.0,9.0
7294715,Cordia,Cordia superba,-22.893788,-43.179161,Brazil,69.0,2020.0,11.0,10.0
7294715,Cordia,Cordia superba,-22.37508,-43.069206,Brazil,,2020.0,11.0,10.0
7294715,Cordia,Cordia superba,-22.37508,-43.069206,Brazil,,2020.0,11.0,10.0
7294715,Cordia,Cordia superba,-23.50694,-47.586691,Brazil,48.0,2020.0,11.0,13.0
7294715,Cordia,Cordia superba,-23.321757,-47.293626,Brazil,11.0,2020.0,11.0,21.0
7294715,Cordia,Cordia superba,-22.80666,-43.180132,Brazil,,2020.0,11.0,27.0
7294715,Cordia,Cordia superba,-22.426532,-42.796581,Brazil,,2020.0,12.0,2.0
7294715,Cordia,Cordia superba,-23.136667,-46.546667,Brazil,,2020.0,12.0,4.0
7294715,Cordia,Cordia superba,-22.80666,-43.180132,Brazil,,2020.0,12.0,9.0
7294715,Cordia,Cordia superba,-23.534586,-46.696767,Brazil,5.0,2020.0,12.0,10.0
7294715,Cordia,Cordia superba,-30.189476,-51.161711,Brazil,,2020.0,12.0,25.0
7294715,Cordia,Cordia superba,-22.299672,-43.158719,Brazil,,2019.0,1.0,31.0
7294715,Cordia,Cordia superba,-22.299672,-43.158719,Brazil,,2019.0,1.0,31.0
7294715,Cordia,Cordia superba,-23.187312,-47.323628,Brazil,22.0,2019.0,2.0,17.0
7294715,Cordia,Cordia superba,-22.4718,-43.491726,Brazil,,2019.0,2.0,23.0
7294715,Cordia,Cordia superba,-23.683762,-46.606617,Brazil,,2019.0,2.0,28.0
7294715,Cordia,Cordia superba,-23.683762,-46.606617,Brazil,,2019.0,2.0,28.0
7294715,Cordia,Cordia superba,-22.529833,-43.190308,Brazil,,2019.0,3.0,18.0
7294715,Cordia,Cordia superba,-23.817553,-47.716042,Brazil,,2019.0,4.0,5.0
7294715,Cordia,Cordia superba,-22.989656,-43.229901,Brazil,30.0,2019.0,4.0,24.0
7294715,Cordia,Cordia superba,-16.670974,-49.235347,Brazil,16.0,2019.0,5.0,22.0
7294715,Cordia,Cordia superba,-23.412809,-46.459585,Brazil,,2019.0,5.0,24.0
7294715,Cordia,Cordia superba,-23.412809,-46.459585,Brazil,,2019.0,5.0,24.0
7294715,Cordia,Cordia superba,-10.992828,-37.672625,Brazil,,2019.0,7.0,25.0
7294715,Cordia,Cordia superba,-22.817146,-43.179125,Brazil,20.0,2019.0,7.0,25.0
7294715,Cordia,Cordia superba,-6.242222,-35.041389,Brazil,,2019.0,9.0,27.0
7294715,Cordia,Cordia superba,-6.242222,-35.041389,Brazil,,2019.0,9.0,27.0
7294715,Cordia,Cordia superba,-22.807473,-43.201222,Brazil,,2019.0,10.0,20.0
7294715,Cordia,Cordia superba,-23.590938,-46.660798,Brazil,14.0,2019.0,10.0,22.0
7294715,Cordia,Cordia superba,-22.75723,-47.656068,Brazil,10.0,2019.0,10.0,31.0
7294715,Cordia,Cordia superba,-22.857532,-43.350178,Brazil,,2019.0,11.0,2.0
7294715,Cordia,Cordia superba,-22.896939,-43.181237,Brazil,,2019.0,12.0,21.0
7294715,Cordia,Cordia superba,-22.841944,-43.235833,Brazil,,2019.0,12.0,17.0
7294715,Cordia,Cordia superba,-22.841944,-43.235833,Brazil,,2019.0,12.0,17.0
7294715,Cordia,Cordia superba,-22.841944,-43.235833,Brazil,,2019.0,12.0,17.0
7294715,Cordia,Cordia superba,-22.841944,-43.235555,Brazil,,2019.0,12.0,17.0
7294715,Cordia,Cordia superba,-22.842222,-43.235555,Brazil,,2019.0,12.0,17.0
7294715,Cordia,Cordia superba,-22.842222,-43.235555,Brazil,,2019.0,12.0,17.0
7294715,Cordia,Cordia superba,-22.8425,-43.235278,Brazil,,2019.0,12.0,17.0
7294715,Cordia,Cordia superba,-22.843055,-43.235,Brazil,,2019.0,12.0,17.0
7294715,Cordia,Cordia superba,-22.842222,-43.235833,Brazil,,2019.0,12.0,17.0
7294715,Cordia,Cordia superba,-22.883932,-47.046549,Brazil,12.0,2018.0,3.0,27.0
7294715,Cordia,Cordia superba,-25.4474,-49.2389,Brazil,,2018.0,4.0,10.0
7294715,Cordia,Cordia superba,-22.7524,-47.581423,Brazil,16.0,2018.0,4.0,29.0
7294715,Cordia,Cordia superba,-22.833333,-43.0725,Brazil,,2018.0,4.0,18.0
7294715,Cordia,Cordia superba,-22.81971,-47.106227,Brazil,,2018.0,5.0,10.0
7294715,Cordia,Cordia superba,-4.151944,-41.701944,Brazil,,2018.0,5.0,18.0
7294715,Cordia,Cordia superba,-17.725727,-49.110805,Brazil,10.0,2018.0,6.0,23.0
7294715,Cordia,Cordia superba,-4.68,-43.38,Brazil,,2018.0,7.0,4.0
7294715,Cordia,Cordia superba,-5.04,-45.36,Brazil,,2018.0,8.0,22.0
